-1, -1, 5.1473e-039
-1, -0.75, 6.03646e-041
-1, -0.5, 7.2214e-043
-1, -0.25, 8.80876e-045
-1, 0, 1.09517e-046
-1, 0.25, 1.3872e-048
-1, 0.5, 1.78941e-050
-1, 0.75, 2.34977e-052
-1, 1, 3.13992e-054
-0.75, -1, 4.53655e-039
-0.75, -0.75, 5.33455e-041
-0.75, -0.5, 6.39897e-043
-0.75, -0.25, 7.82659e-045
-0.75, 0, 9.75657e-047
-0.75, 0.25, 1.23908e-048
-0.75, 0.5, 1.6025e-050
-0.75, 0.75, 2.10971e-052
-0.75, 1, 2.82619e-054
-0.5, -1, 3.49748e-039
-0.5, -0.75, 4.14492e-041
-0.5, -0.5, 5.00892e-043
-0.5, -0.25, 6.16969e-045
-0.5, 0, 7.74279e-047
-0.5, 0.25, 9.89633e-049
-0.5, 0.5, 1.28772e-050
-0.5, 0.75, 1.70521e-052
-0.5, 1, 2.29712e-054
-0.25, -1, 2.36146e-039
-0.25, -0.75, 2.83467e-041
-0.25, -0.5, 3.46696e-043
-0.25, -0.25, 4.31894e-045
-0.25, 0, 5.47826e-047
-0.25, 0.25, 7.07289e-049
-0.25, 0.5, 9.29165e-051
-0.25, 0.75, 1.24161e-052
-0.25, 1, 1.68706e-054
0, -1, 1.3985e-039
0, -0.75, 1.70866e-041
0, -0.5, 2.12455e-043
0, -0.25, 2.68789e-045
0, 0, 3.45928e-047
0, 0.25, 4.52777e-049
0, 0.5, 6.0255e-051
0, 0.75, 8.15072e-053
0, 1, 1.12041e-054
0.25, -1, 7.27794e-040
0.25, -0.75, 9.09285e-042
0.25, -0.5, 1.1544e-043
0.25, -0.25, 1.48922e-045
0.25, 0, 1.95196e-047
0.25, 0.25, 2.59917e-049
0.25, 0.5, 3.51546e-051
0.25, 0.75, 4.82876e-053
0.25, 1, 6.73463e-055
0.5, -1, 3.3354e-040
0.5, -0.75, 4.28028e-042
0.5, -0.5, 5.57148e-044
0.5, -0.25, 7.35717e-046
0.5, 0, 9.85658e-048
0.5, 0.25, 1.33975e-049
0.5, 0.5, 1.84752e-051
0.5, 0.75, 2.58459e-053
0.5, 1, 3.66767e-055
0.75, -1, 1.34937e-040
0.75, -0.75, 1.78615e-042
0.75, -0.5, 2.39312e-044
0.75, -0.25, 3.24667e-046
0.75, 0, 4.46124e-048
0.75, 0.25, 6.21005e-050
0.75, 0.5, 8.75799e-052
0.75, 0.75, 1.25143e-053
0.75, 1, 1.81181e-055
1, -1, 4.83182e-041
1, -0.75, 6.62321e-043
1, -0.5, 9.16794e-045
1, -0.25, 1.2823e-046
1, 0, 1.81316e-048
1, 0.25, 2.59275e-050
1, 0.5, 3.75044e-052
1, 0.75, 5.48894e-054
1, 1, 8.12899e-056

