-1, -1, 8.78315e-043
-1, -0.75, 2.02295e-040
-1, -0.5, 5.06788e-038
-1, -0.25, 1.39217e-035
-1, 0, 4.23465e-033
-1, 0.25, 1.44344e-030
-1, 0.5, 5.59707e-028
-1, 0.75, 2.51727e-025
-1, 1, 1.34763e-022
-0.75, -1, 9.78499e-043
-0.75, -0.75, 2.29005e-040
-0.75, -0.5, 5.84695e-038
-0.75, -0.25, 1.64323e-035
-0.75, 0, 5.13938e-033
-0.75, 0.25, 1.81359e-030
-0.75, 0.5, 7.35038e-028
-0.75, 0.75, 3.50447e-025
-0.75, 1, 2.03373e-022
-0.5, -1, 9.07025e-043
-0.5, -0.75, 2.1312e-040
-0.5, -0.5, 5.46959e-038
-0.5, -0.25, 1.54762e-035
-0.5, 0, 4.88393e-033
-0.5, 0.25, 1.74431e-030
-0.5, 0.5, 7.18729e-028
-0.5, 0.75, 3.50788e-025
-0.5, 1, 2.10789e-022
-0.25, -1, 7.00017e-043
-0.25, -0.75, 1.63159e-040
-0.25, -0.5, 4.1513e-038
-0.25, -0.25, 1.16374e-035
-0.25, 0, 3.63583e-033
-0.25, 0.25, 1.28456e-030
-0.25, 0.5, 5.23138e-028
-0.25, 0.75, 2.52133e-025
-0.25, 1, 1.49501e-022
0, -1, 4.5058e-043
0, -0.75, 1.02956e-040
0, -0.5, 2.56208e-038
0, -0.25, 7.00487e-036
0, 0, 2.12691e-033
0, 0.25, 7.26999e-031
0, 0.5, 2.84722e-028
0, 0.75, 1.3087e-025
0, 1, 7.30938e-023
0.25, -1, 2.42545e-043
0.25, -0.75, 5.37186e-041
0.25, -0.5, 1.29065e-038
0.25, -0.25, 3.39045e-036
0.25, 0, 9.83107e-034
0.25, 0.25, 3.1839e-031
0.25, 0.5, 1.16911e-028
0.25, 0.75, 4.96485e-026
0.25, 1, 2.50657e-023
0.5, -1, 1.09588e-043
0.5, -0.75, 2.32757e-041
0.5, -0.5, 5.33412e-039
0.5, -0.25, 1.32776e-036
0.5, 0, 3.61808e-034
0.5, 0.25, 1.08951e-031
0.5, 0.5, 3.66774e-029
0.5, 0.75, 1.40048e-026
0.5, 1, 6.18009e-024
0.75, -1, 4.17489e-044
0.75, -0.75, 8.4195e-042
0.75, -0.5, 1.8201e-039
0.75, -0.25, 4.23945e-037
0.75, 0, 1.07022e-034
0.75, 0.25, 2.94784e-032
0.75, 0.5, 8.92743e-030
0.75, 0.75, 2.99863e-027
0.75, 1, 1.12786e-024
1, -1, 1.34805e-044
1, -0.75, 2.55826e-042
1, -0.5, 5.16508e-040
1, -0.25, 1.11337e-037
1, 0, 2.57194e-035
1, 0.25, 6.39159e-033
1, 0.5, 1.7151e-030
1, 0.75, 4.98453e-028
1, 1, 1.57086e-025

