-0.25 , -0.25 , 1.07697e-078
-0.25 , 0 , 1.25035e-076
-0.25 , 0.25 , 1.51144e-074
0 , -0.25 , 6.18979e-079
0 , 0 , 7.10154e-077
0 , 0.25 , 8.47676e-075
0.25 , -0.25 , 3.33237e-079
0.25 , 0 , 3.77035e-077
0.25 , 0.25 , 4.43426e-075

